portugues,matematica
55.4,97.2
51.5,96.0
46.2,94.5
42.8,91.4
40.8,88.3
38.7,84.9
35.6,79.9
33.1,77.6
29.0,74.5
26.2,71.4
23.1,66.4
22.3,61.8
22.3,57.2
23.3,52.9
25.9,51.0
29.5,51.0
32.8,51.0
35.4,51.4
40.3,51.4
44.1,52.9
46.7,54.1
50.0,55.3
53.1,55.6
56.7,56.0
59.2,57.9
61.3,62.2
61.5,66.4
61.8,69.1
57.4,55.3
54.9,49.9
52.6,46.0
48.2,38.3
49.5,42.2
51.0,44.1
45.4,36.4
42.8,32.6
38.7,31.4
35.1,30.3
32.6,32.2
30.0,36.8
33.6,41.4
36.7,45.6
38.2,49.1
29.7,36.0
29.7,32.2
30.0,29.1
32.1,26.8
35.9,25.3
41.0,25.3
44.1,25.6
47.2,28.7
49.5,31.4
51.5,34.9
53.6,37.6
55.1,40.6
56.7,42.2
59.2,44.5
62.3,46.0
64.9,46.8
67.9,47.9
70.5,53.7
71.5,60.6
71.5,64.5
69.5,69.5
46.9,79.9
48.2,84.1
50.0,85.3
53.1,85.3
55.4,86.0
56.7,86.0
56.2,82.9
53.8,80.6
51.3,78.7
50.0,78.7
47.9,77.6
29.7,59.9
29.7,62.2
31.3,62.6
57.9,99.5
61.8,99.1
64.9,97.6
68.5,94.1
70.8,91.0
72.1,86.4
73.8,83.3
75.1,79.1
76.7,75.3
77.7,71.4
79.7,66.8
81.8,60.3
83.3,55.3
85.1,51.4
86.4,47.6
87.9,46.0
89.5,42.6
93.3,39.9
95.4,36.8
98.2,33.7
56.7,40.6
59.2,38.3
60.8,33.7
63.1,29.1
64.1,25.3
64.4,24.1
74.4,22.9
71.3,22.9
67.9,22.2
65.9,20.3
63.1,19.1
61.3,19.1
58.7,18.3
55.1,18.3
52.3,18.3
49.7,17.6
47.4,16.0
44.9,13.7
48.7,14.9
51.3,14.9
54.1,14.9
56.2,14.1
52.1,12.6
48.7,11.0
47.2,9.9
46.2,6.0
50.5,9.5
53.8,10.3
57.4,10.3
60.0,10.6
64.1,10.6
66.9,10.6
71.3,10.6
74.4,10.6
78.2,10.6
67.9,8.7
68.5,5.3
68.2,2.9
37.7,25.8
39.5,25.4
91.3,41.5
50.0,95.8
47.9,95.0
44.1,92.7